timestamp,station_id,temperature,pressure,humidity,anomaly_label,anomaly_type
2024-01-01 00:00:00,AWS_Chennai_001,25.95,1008.04,51.22,0,normal
2024-01-01 00:10:00,AWS_Chennai_001,26.21,1008.07,51.06,0,normal
2024-01-01 00:20:00,AWS_Chennai_001,26.47,1008.25,50.55,0,normal
2024-01-01 00:30:00,AWS_Chennai_001,26.41,1008.23,50.08,0,normal
2024-01-01 00:40:00,AWS_Chennai_001,26.26,1008.0,47.73,0,normal
2024-01-01 00:50:00,AWS_Chennai_001,25.88,1007.91,48.57,0,normal
2024-01-01 01:00:00,AWS_Chennai_001,25.41,1007.78,51.09,0,normal
2024-01-01 01:10:00,AWS_Chennai_001,25.18,1007.87,49.15,0,normal
2024-01-01 01:20:00,AWS_Chennai_001,24.85,1007.97,47.71,0,normal
2024-01-01 01:30:00,AWS_Chennai_001,24.82,1007.96,47.64,0,normal
2024-01-01 01:40:00,AWS_Chennai_001,24.5,1008.31,47.99,0,normal
2024-01-01 01:50:00,AWS_Chennai_001,24.06,1008.5,46.51,0,normal
2024-01-01 02:00:00,AWS_Chennai_001,24.02,1008.24,44.94,0,normal
2024-01-01 02:10:00,AWS_Chennai_001,23.98,1008.41,45.7,0,normal
2024-01-01 02:20:00,AWS_Chennai_001,,,,1,missing_data
2024-01-01 02:30:00,AWS_Chennai_001,23.54,1008.38,46.09,0,normal
2024-01-01 02:40:00,AWS_Chennai_001,23.56,1008.16,47.02,0,normal
2024-01-01 02:50:00,AWS_Chennai_001,23.37,1008.12,48.33,1,frozen_temperature
2024-01-01 03:00:00,AWS_Chennai_001,23.37,1008.29,47.41,1,frozen_temperature
2024-01-01 03:10:00,AWS_Chennai_001,23.37,1008.36,49.25,1,frozen_temperature
2024-01-01 03:20:00,AWS_Chennai_001,23.37,1008.35,47.88,1,frozen_temperature
2024-01-01 03:30:00,AWS_Chennai_001,23.37,1008.5,50.27,1,frozen_temperature
2024-01-01 03:40:00,AWS_Chennai_001,23.37,1008.66,51.05,1,frozen_temperature
2024-01-01 03:50:00,AWS_Chennai_001,23.37,1008.72,53.55,1,frozen_temperature
2024-01-01 04:00:00,AWS_Chennai_001,23.37,1008.92,49.7,1,frozen_temperature
2024-01-01 04:10:00,AWS_Chennai_001,23.37,1008.88,49.51,1,frozen_temperature
2024-01-01 04:20:00,AWS_Chennai_001,23.37,1008.54,49.46,1,frozen_temperature
2024-01-01 04:30:00,AWS_Chennai_001,23.37,1008.74,48.96,1,frozen_temperature
2024-01-01 04:40:00,AWS_Chennai_001,23.37,1008.62,50.63,1,frozen_temperature
2024-01-01 04:50:00,AWS_Chennai_001,23.37,1008.51,51.62,1,frozen_temperature
2024-01-01 05:00:00,AWS_Chennai_001,23.37,1008.6,50.49,1,frozen_temperature
2024-01-01 05:10:00,AWS_Chennai_001,23.37,1008.47,48.27,1,frozen_temperature
2024-01-01 05:20:00,AWS_Chennai_001,23.37,1008.45,48.36,1,frozen_temperature
2024-01-01 05:30:00,AWS_Chennai_001,23.37,1008.18,47.81,1,frozen_temperature
2024-01-01 05:40:00,AWS_Chennai_001,23.18,1008.01,47.68,0,normal
2024-01-01 05:50:00,AWS_Chennai_001,,,,1,missing_data
2024-01-01 06:00:00,AWS_Chennai_001,,,,1,missing_data
2024-01-01 06:10:00,AWS_Chennai_001,23.96,1008.1,48.96,0,normal
2024-01-01 06:20:00,AWS_Chennai_001,24.11,1008.08,48.83,0,normal
2024-01-01 06:30:00,AWS_Chennai_001,23.96,1008.18,49.88,0,normal
2024-01-01 06:40:00,AWS_Chennai_001,24.4,1007.97,51.86,0,normal
2024-01-01 06:50:00,AWS_Chennai_001,24.16,1007.99,54.93,0,normal
2024-01-01 07:00:00,AWS_Chennai_001,24.16,1007.83,54.58,0,normal
2024-01-01 07:10:00,AWS_Chennai_001,24.3,1007.53,54.2,0,normal
2024-01-01 07:20:00,AWS_Chennai_001,24.27,1007.55,52.36,0,normal
2024-01-01 07:30:00,AWS_Chennai_001,25.02,1007.38,51.51,0,normal
2024-01-01 07:40:00,AWS_Chennai_001,25.51,1007.15,51.53,0,normal
