timestamp,station_id,temperature,pressure,humidity,anomaly_flag,confidence_score,severity,root_cause,rule_triggers,if_score,stat_score,rf_score,anomaly_label,anomaly_type
2024-07-01 00:00:00,AWS_Chennai_001,25.62,1007.91,52.57,0,0.0865,NORMAL,None,[],0.1613,0.0,0.1908,0,normal
2024-07-01 00:10:00,AWS_Chennai_001,25.14,1007.6,57.07,0,0.1165,NORMAL,None,[],0.2061,0.1571,0.1557,0,normal
2024-07-01 00:20:00,AWS_Chennai_001,24.41,1007.32,60.77,0,0.1378,NORMAL,None,[],0.2367,0.223,0.1666,0,normal
2024-07-01 00:30:00,AWS_Chennai_001,24.18,1007.01,62.24,0,0.1703,NORMAL,None,[],0.3161,0.2301,0.2046,0,normal
2024-07-01 00:40:00,AWS_Chennai_001,24.66,1006.73,63.11,0,0.1607,NORMAL,None,[],0.3016,0.1784,0.2175,0,normal
2024-07-01 00:50:00,AWS_Chennai_001,24.55,1006.89,67.88,0,0.2008,NORMAL,None,[],0.3517,0.1896,0.3342,0,normal
2024-07-01 01:00:00,AWS_Chennai_001,24.87,1006.78,70.25,0,0.1743,NORMAL,None,[],0.3073,0.1815,0.2746,0,normal
2024-07-01 01:10:00,AWS_Chennai_001,25.33,1006.48,73.15,0,0.2028,NORMAL,None,[],0.3329,0.2728,0.3102,0,normal
2024-07-01 01:20:00,AWS_Chennai_001,24.94,1006.23,75.5,0,0.1963,NORMAL,None,[],0.3386,0.225,0.3048,0,normal
2024-07-01 01:30:00,AWS_Chennai_001,24.51,1006.07,75.08,0,0.1839,NORMAL,None,[],0.2959,0.2453,0.2915,0,normal
2024-07-01 01:40:00,AWS_Chennai_001,24.46,1005.53,73.32,0,0.2191,NORMAL,None,[],0.282,0.2548,0.4813,0,normal
2024-07-01 01:50:00,AWS_Chennai_001,24.28,1005.56,74.05,0,0.1745,NORMAL,None,[],0.246,0.2555,0.312,0,normal
2024-07-01 02:00:00,AWS_Chennai_001,24.31,1005.55,73.67,0,0.144,NORMAL,None,[],0.2395,0.2255,0.1918,0,normal
2024-07-01 02:10:00,AWS_Chennai_001,24.43,1005.32,72.05,0,0.1584,NORMAL,None,[],0.2289,0.1927,0.304,0,normal
2024-07-01 02:20:00,AWS_Chennai_001,24.34,1005.31,73.6,0,0.1555,NORMAL,None,[],0.2179,0.208,0.2949,0,normal
2024-07-01 02:30:00,AWS_Chennai_001,24.37,1005.56,75.19,0,0.1464,NORMAL,None,[],0.2029,0.1861,0.288,0,normal
2024-07-01 02:40:00,AWS_Chennai_001,24.7,1005.79,74.14,0,0.1296,NORMAL,None,[],0.1949,0.1096,0.2735,0,normal
2024-07-01 02:50:00,AWS_Chennai_001,24.4,1005.92,73.89,0,0.1297,NORMAL,None,[],0.1849,0.1283,0.2751,0,normal
2024-07-01 03:00:00,AWS_Chennai_001,24.44,1005.93,76.18,0,0.1127,NORMAL,None,[],0.1813,0.1301,0.1939,0,normal
2024-07-01 03:10:00,AWS_Chennai_001,24.99,1005.99,78.62,0,0.1464,NORMAL,None,[],0.2389,0.2197,0.2087,0,normal
2024-07-01 03:20:00,AWS_Chennai_001,24.76,1005.95,79.82,0,0.1286,NORMAL,None,[],0.212,0.1674,0.1994,0,normal
2024-07-01 03:30:00,AWS_Chennai_001,24.38,1006.0,81.69,0,0.1553,NORMAL,None,[],0.257,0.1958,0.2444,0,normal
2024-07-01 03:40:00,AWS_Chennai_001,24.42,1005.8,80.45,0,0.1212,NORMAL,None,[],0.1834,0.1797,0.1961,0,normal
2024-07-01 03:50:00,AWS_Chennai_001,24.51,1005.72,79.83,0,0.0912,NORMAL,None,[],0.121,0.1436,0.1669,0,normal
2024-07-01 04:00:00,AWS_Chennai_001,24.88,1005.37,77.31,0,0.1078,NORMAL,None,[],0.144,0.2054,0.1689,0,normal
2024-07-01 04:10:00,AWS_Chennai_001,25.2,1005.14,77.9,0,0.1399,NORMAL,None,[],0.1685,0.3521,0.1829,0,normal
2024-07-01 04:20:00,AWS_Chennai_001,24.94,1004.74,80.54,0,0.1781,NORMAL,None,[],0.2179,0.3839,0.2757,0,normal
2024-07-01 04:30:00,AWS_Chennai_001,24.74,1004.86,82.37,0,0.1455,NORMAL,None,[],0.2147,0.3005,0.1801,0,normal
2024-07-01 04:40:00,AWS_Chennai_001,24.65,1004.55,81.81,0,0.154,NORMAL,None,[],0.2314,0.2698,0.2204,0,normal
2024-07-01 04:50:00,AWS_Chennai_001,24.31,1004.74,82.61,0,0.1286,NORMAL,None,[],0.1686,0.2909,0.172,0,normal
2024-07-01 05:00:00,AWS_Chennai_001,24.89,1004.37,83.15,0,0.1543,NORMAL,None,[],0.2402,0.3112,0.1777,0,normal
2024-07-01 05:10:00,AWS_Chennai_001,25.45,1004.16,84.94,0,0.1812,NORMAL,None,[],0.2566,0.4391,0.1917,0,normal
2024-07-01 05:20:00,AWS_Chennai_001,25.3,1003.81,85.67,0,0.1772,NORMAL,None,[],0.2373,0.3947,0.234,0,normal
2024-07-01 05:30:00,AWS_Chennai_001,25.37,1003.78,82.82,0,0.1521,NORMAL,None,[],0.2163,0.3043,0.2077,0,normal
2024-07-01 05:40:00,AWS_Chennai_001,25.77,1004.05,83.04,0,0.156,NORMAL,None,[],0.2161,0.3073,0.2251,0,normal
2024-07-01 05:50:00,AWS_Chennai_001,25.94,1003.93,80.49,0,0.1437,NORMAL,None,[],0.2172,0.2622,0.1962,0,normal
2024-07-01 06:00:00,AWS_Chennai_001,26.32,1003.53,80.1,0,0.1572,NORMAL,None,[],0.202,0.3189,0.2435,0,normal
2024-07-01 06:10:00,AWS_Chennai_001,26.93,1003.28,81.11,0,0.1632,NORMAL,None,[],0.2227,0.313,0.2474,0,normal
2024-07-01 06:20:00,AWS_Chennai_001,27.44,1003.19,79.27,0,0.1789,NORMAL,None,[],0.2588,0.363,0.2341,0,normal
2024-07-01 06:30:00,AWS_Chennai_001,27.52,1003.36,76.54,0,0.1755,NORMAL,None,[],0.2454,0.3793,0.2247,0,normal
2024-07-01 06:40:00,AWS_Chennai_001,27.62,1003.14,77.17,0,0.1682,NORMAL,None,[],0.2512,0.342,0.2075,0,normal
2024-07-01 06:50:00,AWS_Chennai_001,28.02,1003.26,77.17,0,0.1869,NORMAL,None,[],0.2525,0.318,0.3172,0,normal
2024-07-01 07:00:00,AWS_Chennai_001,28.51,1003.2,78.18,0,0.1798,NORMAL,None,[],0.2365,0.2964,0.3219,0,normal
2024-07-01 07:10:00,AWS_Chennai_001,28.56,1002.92,76.77,0,0.1845,NORMAL,None,[],0.2457,0.3344,0.303,0,normal
2024-07-01 07:20:00,AWS_Chennai_001,28.56,1002.84,78.22,0,0.2052,NORMAL,None,[],0.2907,0.2735,0.3849,0,normal
2024-07-01 07:30:00,AWS_Chennai_001,28.88,1002.64,81.17,0,0.2156,NORMAL,None,[],0.3639,0.2408,0.3516,0,normal
2024-07-01 07:40:00,AWS_Chennai_001,29.54,1002.48,80.03,0,0.2141,NORMAL,None,[],0.3779,0.2557,0.312,0,normal
2024-07-01 07:50:00,AWS_Chennai_001,29.75,1002.57,80.67,0,0.1754,NORMAL,None,[],0.2888,0.2322,0.2696,0,normal
2024-07-01 08:00:00,AWS_Chennai_001,30.16,1002.45,81.37,0,0.1782,NORMAL,None,[],0.2822,0.2637,0.2699,0,normal
2024-07-01 08:10:00,AWS_Chennai_001,30.85,1002.33,81.56,0,0.1833,NORMAL,None,[],0.2891,0.2929,0.2632,0,normal
2024-07-01 08:20:00,AWS_Chennai_001,31.12,1002.29,79.41,0,0.1476,NORMAL,None,[],0.2174,0.2458,0.2277,0,normal
2024-07-01 08:30:00,AWS_Chennai_001,30.73,1002.05,79.74,0,0.1514,NORMAL,None,[],0.2133,0.2299,0.2649,0,normal
2024-07-01 08:40:00,AWS_Chennai_001,31.1,1001.91,81.87,0,0.1641,NORMAL,None,[],0.2002,0.3346,0.2694,0,normal
2024-07-01 08:50:00,AWS_Chennai_001,31.23,1001.85,81.53,0,0.144,NORMAL,None,[],0.1526,0.3092,0.2591,0,normal
2024-07-01 09:00:00,AWS_Chennai_001,31.51,969.15,82.42,1,0.6981,HIGH,Spike / Transient Fault - Pressure,['spike_pressure'],0.5309,0.5078,0.5631,1,spike_pressure
2024-07-01 09:10:00,AWS_Chennai_001,31.46,1002.12,80.62,1,0.584,MEDIUM,Spike / Transient Fault - Pressure,['spike_pressure'],0.4099,0.1447,0.4464,0,normal
2024-07-01 09:20:00,AWS_Chennai_001,31.7,1002.04,78.98,0,0.2044,NORMAL,None,[],0.3824,0.134,0.3478,0,normal
2024-07-01 09:30:00,AWS_Chennai_001,31.89,1001.89,79.11,0,0.2158,NORMAL,None,[],0.3874,0.1363,0.3958,0,normal
2024-07-01 09:40:00,AWS_Chennai_001,32.22,1002.07,79.58,0,0.1926,NORMAL,None,[],0.3594,0.1334,0.3238,0,normal
2024-07-01 09:50:00,AWS_Chennai_001,32.22,1001.97,79.78,0,0.1966,NORMAL,None,[],0.3911,0.1233,0.3037,0,normal
